题目,选项,答案,解析,题型,难度,知识点,知识点Id
Which of the following etiquette is not observed by the British?,"A. Be ready to say ""please""， ""sorry"" or ""thank you"".|B. Queue everywhere you go.|C. Hug， touch， or kiss people often to show friendliness.|D. Call if you are late for a meeting.",C,在英国，人们几乎每时每刻都会说“please， sorry， thank you”这些词来表达礼貌；排队在很重要；除了很亲近的亲戚朋友，英国人一般不愿意与人保持近距离或者身体接触；守时很重要，如果迟到了，要打电话讲一下并表示歉意。,单选题,易,英国文化|文化价值观，英国文化|沟通风格|言语沟通，英国文化|沟通风格|非言语沟通，英国文化|社会习俗与礼仪|会见礼仪，非言语交际|空间与距离|身体接触，非言语交际|空间与距离|身体接触各国的空间与距离观念，非言语交际|时间观念|单时制与多时制，非言语交际|时间观念|各国的时间观念，英国文化|商务文化与惯例|会议沟通与文化,ICN5-1-3，ICN5-2-1，ICN5-2-2，ICN5-3-1，IC3-3-3，IC3-3-4，IC3-4-1，IC3-4-2，ICN5-4-3
If you are going to have a negotiation with a British team. Which of the following practices is correct?,A. Have an informal conversation first to break the ice.|B. Present your products emotionally to the British in order to convince them.|C. Bargain in a direct way since the British have a Western culture and communication style.|D. Believe in everything the British say since they are trustworthy people.,A,英国人处事比较灵活变通，在会议和谈判之前通常会说一些非正式话题来让气氛变得轻松。在谈判过程中，英国人更注重实际的产品和数据，更冷静。激情澎湃的说服性和直接的谈判技巧等方法不适用与英国人的谈判。同时要注意英国人说话经常有所保留，所以关于报价或产品的真正价值要仔细探究才能发掘英国人的真实想法。,单选题,易,文化价值观|高语境和低语境文化，英国文化|社会习俗与礼仪|会见礼仪，英国文化|沟通风格|言语沟通，英国文化|商务文化与惯例|谈判风格，跨文化商务谈判|民族性格，跨文化商务谈判|欧洲各国谈判风格,IC4-4-1，ICN5-3-1，ICN5-2-1，ICN5-4-4，IC6-2-2，IC6-4-2
______ in 1935， this company specialized in the exportation of cotton piece goods.,A.Establish|B.Established|C.Establishing|D.To be establishing,B,无,单选题,中,国际贸易实务|客户开发|开发信撰写,ITR1-5
In international express， ______ is regarded as the unit of measurement.,A.kilogram|B.ton|C.gram|D.cubic meter,A,五大常用国际快递公司都以公斤“KG”为计量单位。,单选题,易,国际贸易实务|确认样品|国际快递,ITR2-2
"A buyer in the United Kingdom  sent an email to a light industry export company and the mail said: ""we are to purchase toothpaste A of your company， please inform  us of the lowest price and the fastest delivery date"". This email is ______ step of the transaction negotiation.",A.offer|B.inquiry|C.counter-offer|D.acceptance,B,询盘是指买方为购进商品或者卖方为销售商品而向对方提供关于交易条件的询问。,单选题,中,国际贸易实务|合同磋商|询盘与回复,ITR3-4
"A foreign buyer called our export company ""Accept your offer made on the 12th， please reduce the price by 5%"". This call is ______ link of the transaction negotiation.",A.offer|B.inquiry|C.counter-offer|D.acceptance,C,对发盘表示接受但是载有添加、限制或其他更改的答复，即为拒绝，并构成还盘。,单选题,中,国际贸易实务|合同磋商|询盘与回复,ITR3-4
Bank A opened a letter of credit and entrusted Bank B to act as the advising bank. Since Bank B could not notify the beneficiary directly. Bank A sent the letter of credit to Bank C after contacting the beneficiary， and Bank C notified the beneficiary. In this business， which of the above-mentioned banks is the advising bank recognized by UCP600?,A.Bank A|B.Bank B|C.Bank C|D.Bank B and C,C,无,单选题,难,国际贸易实务|信用证|信用证开立,ITR5-1
Which one is not the steps for the importer to apply for a letter of credit?,A.Fill in the application form for opening a letter of credit  |B.Pay the deposit for opening a letter of credit |C.Pay fees for opening a letter of credit  |D.Designate an advising bank,D,无,单选题,难,国际贸易实务|信用证|信用证开立,ITR5-1
Which one of the following means for container goods handover can realize “door to door” transport in container transport?,A.LCL/LCL|B.LCL/FCL|C.FCL/FCL|D.FCL/LCL,C,门到门是由托运人负责装载集装箱，在其货仓或工厂仓库交承运人验收后，负责全程运输，直到收货人的货仓或工厂仓库交接为止。所以只能是整箱货的交接、装卸和运输。,单选题,难,国际贸易实务|备货出货|国际货物运输，国际贸易实务|备货出货|备货与出货，国际贸易实务|备货出货|集装箱运输，国际贸易实务|备货出货|租船订舱,ITR6-1，ITR6-4，ITR6-3，ITR6-5
According to the provisions of relevant laws， which one of the following items is not within the scope of customs declaration?,A.Entry and exit means of transport|B.Entry and exit items|C.Imported and exported goods|D.Entry and exit passengers,D,列入报关范围的有：进出境运输工具、进出境物品、进出口货物。,单选题,中,国际贸易实务|通关手续|报关,ITR8-2
In the foreign business negotiations， the translator should be seated _____ .,A. on the immediate left side of the speaker|B. on the immediate right side of the speaker|C. on the outermost position in the negotiation team,B,无,单选题,中,国际商务谈判|组织准备|谈判会场布置,IBTP3-3-2
Asking a price as a whole is commonly employed for the _____ time after the other party makes a quotation.,A. first|B. second|C. third|D. last,A,全面讨价常常用于价格评论后对于较复杂的交易的首次讨价。,单选题,中,国际商务谈判|磋商阶段|还价策略|还价方式，国际商务谈判|磋商阶段|还价策略|还价技巧,IBTP7-2-3，IBTP7-2-5
When you negotiate with Russians， your Russian counterparts refuse your offer after many rounds of bargaining. What should you do next?,A. The deal falls through and it cannot be helped.|B. You should argue back that they have made a wrong decision.|C. You should accept it quickly in order to save face.|D. You can try to leverage your personal relationship and see if the situation can be changed. Persistence is admired in Russia.,D,俄罗斯的“不”不一定就是最后答案。通过私下的关系，有可能会让情况有所好转。俄罗斯非常崇尚坚持和毅力。这也是为何在与俄罗斯人谈判时要很有耐心。,单选题,中,国际商务谈判|计划制定|议程拟定|谈判议程,IBTP4-3-1
The standards of value negotiation to determine the success of the negotiations are _____ .,A. target realization standard， cost optimization standard and interpersonal relationship standard|B. interest satisfaction standard， highest profits standard， and interpersonal relationship standard|C. target realization standard， maximum benefits standard， and interpersonal relationship standard|D. target realization standard， common interests standard， conflict and cooperation standard,A,判定谈判是否成功，从三方面来进行。一是目标实现标准，即人们以行为有没有达到预期的目标，来看待行为的有效性。二是成本优化标准，主要考虑为达成协议所作的让步、所耗费的资源以及由于占用了资源而失去的其他的获利机会。三是人际关系标准，考虑谈判是促进、加强或是削弱了双方的友好关系。,单选题,中,国际商务谈判|计划制定|目标确定|谈判目标,IBTP4-1-1
Generally， the amount of the commercial invoice should be the same as that of the ________.,A. contract|B. letter of credit|C. insurance|D. actual shipments,A,商业发票的金额与合同金额一致，但不能超过信用证金额。,单选题,难,商务英语单证|商业发票,BEDZ4
In the international carriage of goods， a contract of carriage is formed as soon as the ________ is issued.,A. bill of ladingB. shipping listC. dock receiptD. booking note,B,装货单一经签发，运输合同即告成立。,单选题,易,商务英语单证|装箱清单,BEDZ4
The shipping mark of the invoice shall be filled in according to the stipulations of the credit or the contract. If there is no shipping mark， ________ shall be filled in.,A. NO|B. YES|C. N/M|D. MARK,C,无唛头填写要求，则填写N/M。,单选题,易,商务英语单证|集装箱托运单,BEDZ5
A valid letter of credit must specify the ________.,A. date of shipment|B. expiration date|C. date for presentation of document|D. negotiation date,B,信用证必须规定一个有效期。,单选题,易,商务英语单证|信用证,BEDZ2
The freight payment method in the ocean bill of lading is FREIGHT TO BE PAYABLE. If there is no special requirement in the L/C， then the payment method is generally apply to ________.,A. FOB|B. CFR|C. FCA|D. CIF,A,“FREIGHT TO BE PAYABLE”表示运费到付。CFR和CIF术语下运费预付，FCA术语下不涉及海运提单。,单选题,难,商务英语单证|海运提单,BEDZ19
